19.1,65
18.6,59.9
18.1,59.9
17.6,59.5
17.2,59.2
16.7,58.8
16.2,58.6
15.7,58.1
15.2,57.5
14.7,57.3
14.2,57.3
13.8,57
13.4,56.7
13,56.2
12.6,55.3
12.2,54.8
58,77.8
57.2,77.5
56.5,77.2
55.8,76.9
55.1,76.6
54.3,76.2
53.5,76.1
52.6,75.3
51.7,75.9
5.8,74.2
49.9,73.5
48.9,73
47.9,72.8
46.9,73.3
46,73.6
45,72.6
59.5,75.6
58.4,75.4
57.2,75.3
56.1,75.1
55,74.9
53.9,74.7
52.8,74.4
51.8,74.1
5.8,73.8
49.8,73.4
48.9,72.9
47.9,72.3
47,71.7
46.1,71.6
45.3,71.4
44.4,71.3
23.3,52.4
22.7,51.7
22.1,51.1
21.5,56
21,51
2.4,49.6
19.8,49.1
19.3,48.7
18.8,48.2
18.2,47.7
17.7,47.4
17.2,47.1
16.8,46.8
16.3,46.5
15.8,45.7
15.4,45.3
47.7,76.4
47,76.2
46.4,76.1
45.7,75.9
45.1,75.7
44.4,75.6
43.8,75.4
43.2,75.2
42.6,75
42,74.8
41.4,74.6
4.8,74.4
4.1,74.2
39.5,74
38.9,73.8
38.2,73.6
62.8,76.3
62.2,76.2
61.6,76
61,75.9
6.4,75.7
59.8,75.5
59.2,75.6
58.6,75.4
58,74.8
57.5,75.2
56.9,74.9
56.3,74.7
55.7,74.1
55.1,74.1
54.6,74
54,74.1
54.9,74.8
54.1,74.6
53.3,74.4
52.6,74.4
51.9,73.9
51.2,73.5
5.7,73.3
5.1,73.2
49.7,73.5
49.2,72.9
48.8,73
48.4,73
48.1,72.7
47.8,72.6
47.4,72.6
47.1,72
66.6,82.8
66.1,82.7
65.5,82.5
65,82.3
64.4,82
63.9,81.9
63.4,81.7
62.9,81.3
62.5,81.3
62,81.2
61.5,81
6.9,86
6.3,83
59.6,79.9
59,79.9
58.2,79.5
57.6,81.5
57.1,81.4
56.6,81.1
56.1,88
55.7,88
55.2,84
54.7,82
54.2,84
53.7,81
53.2,79.8
52.7,79.4
52.2,79.3
51.7,78.8
51.2,78.7
5.6,78.6
5.1,78.1
52.5,72.7
51.5,72.5
5.6,72.2
49.7,71.9
48.8,71.6
48,71.1
47.3,78
46.6,73
45.9,73
45.3,69.2
44.7,68.4
44.2,68.4
43.6,67.8
43.1,67.8
42.6,67.5
42.1,66.6
64.5,76.1
63.8,75.4
63.2,74.8
62.6,74.9
62,75
61.3,75
6.7,74.6
6.1,74.5
59.4,74.4
58.7,74.2
58.1,74.1
57.4,73.8
56.7,73.2
56,73.1
55.2,72.9
54.4,72.6
63.6,76.9
62.9,76.8
62.2,76.7
61.5,76.5
6.8,76.1
6.1,76.1
59.3,76
58.5,75.8
57.6,75.6
56.8,75.5
56.1,75.3
55.6,75.2
55.2,75
55,74.9
54.8,74.7
54.5,74.5
18.3,71.8
17.7,71.4
17,71
16.4,77
15.8,73
15.2,69.9
14.6,69.5
14,69.1
13.5,68.6
13,68.2
12.5,67.8
12,67.3
11.6,66.8
11.2,66.3
1.8,65.8
1.4,65.3
54.5,75.5
53.7,75.4
53,75.2
52.2,75.1
51.4,74.9
5.7,74.7
49.9,74.6
49.2,74.4
48.4,74.2
47.7,74.1
46.9,73.9
46.2,73.8
45.4,73.7
44.6,73.5
43.8,73.4
43,73.3
62.3,72.3
61.7,72
61.1,71.7
6.5,71.9
59.9,72
59.3,73
58.7,70
58.2,70
57.7,69.8
57.2,68.9
56.7,68.1
56.2,68.2
55.8,67.7
55.3,67.2
54.9,67.7
54.4,68
63.7,81.1
63.4,89
63,87
62.6,83
62.3,83
61.9,80
61.6,79.8
61.3,79.5
6.9,79.5
6.6,79.4
6.2,78.9
59.8,78.8
59.4,78.3
59,78
58.5,78
58.1,77.6
5.9,71
5.1,70
49.3,69.8
48.5,69.4
47.8,69.4
47,69.5
46.3,69.5
45.7,69.6
45,69.6
44.4,69.4
43.8,69
43.2,68.7
42.6,68.4
42,68.5
41.4,68.2
4.8,68.3
25.7,60
25.2,59.7
24.6,59.5
24.1,59.3
23.5,59.1
23,58.7
22.5,58.4
22,57.6
21.5,57.1
21,56.8
2.5,56.5
2.1,56.1
19.7,55.8
19.2,55.6
18.8,55.5
18.4,55.4
24.5,69.8
23.6,69.4
22.7,69.1
21.9,68.7
21.1,68.3
2.3,67.9
19.5,67.4
18.8,67
18,66.5
17.4,65.8
16.7,65
16.1,64.2
15.5,63.3
14.9,62.5
14.4,61.7
13.9,62
52.6,77
51.9,74
51.2,71
5.6,69.8
49.9,69.3
49.3,68.7
48.6,68
48,67.4
47.3,66.8
46.7,66.2
46,65.7
45.4,65.1
44.7,64.5
44,63.9
43.3,63.3
42.6,62.6
55.8,77.4
55.3,77.2
54.7,77
54.2,76.8
53.7,76.9
53.1,76.4
52.6,76.1
52.1,76
51.5,75.4
51,75.7
5.5,75
49.9,75.5
49.4,75.2
48.8,75.4
48.2,74.9
47.6,74.6
37.9,65.7
37.3,65.1
36.8,64.2
36.2,63.4
35.7,62.2
35.2,61.1
34.7,59.2
34.2,57.5
33.7,56.9
33.2,54.8
32.7,51.7
32.2,48.1
31.6,46.4
31.1,46
3.5,46.7
29.9,47.8
56.1,75
55.3,74.8
54.5,74.7
53.6,74.5
52.8,74.1
52,73.8
51.1,73.6
5.3,73.4
49.4,73.3
48.6,73
47.8,72.7
46.9,72
46.1,71.8
45.3,71.4
44.5,71
43.7,75
41.2,77.7
4.2,77.6
39.2,77.1
38.2,78.3
37.2,77.4
36.2,76.9
35.2,76.8
34.2,77.2
